pid,in_t,side,pnl,vol,entry_p,duration_s,atr_m1,bar_dir,prev_dir,entry_in_bar_pct,entry_vs_ema20_m5,entry_above_ema20_m5,last5_bull_count,hour,minute
3056349,2026-04-06 12:00:23+00:00,BUY,146.3,0.77,4700.06,4.0,2.792857142857104,bull,bear,0.5850340136055103,15.189919836663648,True,3,12,0
3084140,2026-04-07 04:00:03+00:00,SELL,337.26,0.77,4644.52,4.0,3.849999999999974,bear,bear,0.6305916305916418,-13.767631365939451,False,2,4,0
3109063,2026-04-07 11:20:44+00:00,BUY,10.58,0.46,4668.5,3.0,4.710714285714403,bull,bull,0.517739025856862,15.67874584277888,True,3,11,20
3124364,2026-04-07 13:26:49+00:00,BUY,368.9,0.62,4657.72,28.0,4.337857142856982,bear,bear,0.23590814196244628,-16.68056342230193,False,1,13,26
3130326,2026-04-07 13:44:24+00:00,BUY,613.8,1.24,4658.26,11.0,4.403571428571532,bull,bear,0.1348637015782604,-13.963438660684915,False,3,13,44
3136316,2026-04-07 14:03:16+00:00,BUY,620.0,1.24,4646.46,20.0,4.473571428571502,bull,bear,0.15601965601970338,-20.20639587799451,False,3,14,3
3139175,2026-04-07 14:04:42+00:00,BUY,549.32,1.24,4652.82,31.0,4.423571428571449,bull,bull,0.5283018867924285,-13.846395877994837,False,3,14,4
3144799,2026-04-07 14:14:33+00:00,BUY,618.76,1.24,4630.23,13.0,5.511428571428561,bull,bull,0.19813953488364647,-32.38082193846276,False,2,14,14
3146231,2026-04-07 14:15:24+00:00,BUY,558.0,1.24,4633.71,34.0,5.825714285714249,bear,bull,0.11359724612735152,-26.856071070510552,False,2,14,15
3163796,2026-04-07 17:06:14+00:00,SELL,374.99,0.77,4616.34,6.0,6.5878571428571115,bear,bull,0.5016816143497871,-29.939364486743216,False,1,17,6
3182543,2026-04-07 22:20:15+00:00,BUY,50.82,0.77,4694.47,5.0,5.901428571428563,bull,bull,0.44920844327179854,20.184323156298888,True,4,22,20
3266628,2026-04-08 17:27:09+00:00,BUY,270.32,0.62,4767.56,50.0,5.5635714285715165,bull,bull,0.2807017543860069,-15.602894582714725,False,2,17,27
3390040,2026-04-10 11:47:30+00:00,SELL,261.03,0.77,4737.74,5.0,2.574999999999818,bear,bear,0.5589692765113821,-10.188714396777868,False,1,11,47
3413729,2026-04-10 18:36:15+00:00,BUY,-592.72,0.62,4769.98,28.0,3.8835714285714857,bear,bear,0.9147239263803489,-7.1137755287172695,False,2,18,36
3420486,2026-04-10 19:04:10+00:00,BUY,194.68,0.62,4754.24,46.0,3.9685714285714573,bear,bull,0.33073929961091697,-17.44955800355092,False,2,19,4
3423165,2026-04-10 19:06:39+00:00,BUY,620.0,1.24,4746.96,33.0,4.3135714285715165,bear,bear,0.19180087847736663,-22.96169834745433,False,2,19,6
3424756,2026-04-10 19:08:26+00:00,BUY,465.0,0.93,4749.7,13.0,4.916428571428631,bull,bull,0.07614942528731934,-20.22169834745455,False,2,19,8
3426425,2026-04-10 19:09:35+00:00,BUY,460.35,0.93,4754.78,60.0,4.79357142857147,bull,bull,0.4012539184952683,-15.141698347454621,False,3,19,9
3442594,2026-04-13 01:05:00+00:00,SELL,4755.01,0.79,4730.48,4.0,7.375714285714172,bull,bull,0.9883040935672406,-16.410264410895252,False,3,1,5
3564969,2026-04-14 16:37:44+00:00,BUY,24.0,0.8,4796.91,29.0,3.712142857143005,bull,bull,0.817351598173479,16.872783917086963,True,4,16,37
3685708,2026-04-15 18:36:20+00:00,BUY,682.0,1.24,4794.71,28.0,4.105714285714255,bull,bull,0.12665862484923843,-16.037867156363973,False,4,18,36
3769046,2026-04-16 12:59:51+00:00,BUY,252.0,0.63,4811.01,54.0,1.7928571428571038,bear,bull,0.17279411764713626,-3.252966778388327,False,2,12,59
3778776,2026-04-16 13:48:12+00:00,BUY,0.64,0.32,4807.62,8.0,1.5171428571428416,bull,bear,0.40182648401822124,-2.7259661100388257,False,2,13,48
3805139,2026-04-16 16:55:30+00:00,SELL,-370.56,0.48,4788.7,37.0,5.511428571428691,bear,bear,0.41197497765860924,-24.60868293290241,False,1,16,55
4117933,2026-04-20 17:51:46+00:00,BUY,289.9,0.65,4803.71,34.0,3.8585714285714596,bear,bear,0.5613856342333354,-11.679546450206544,False,1,17,51
4139046,2026-04-21 01:06:36+00:00,BUY,25.48,0.49,4827.73,46.0,2.017857142857143,bull,bull,0.417431192660428,10.35662814963871,True,4,1,6
4235759,2026-04-21 16:06:17+00:00,SELL,11.76,0.49,4772.66,17.0,3.375,bear,bear,0.45775729646695545,-9.714452706510201,False,1,16,6
4249022,2026-04-21 16:35:30+00:00,SELL,37.73,0.49,4772.63,6.0,3.737857142857073,bear,bear,0.3430851063829906,-5.805752450194632,False,1,16,35
4512525,2026-04-23 13:14:34+00:00,BUY,422.06,0.94,4687.26,48.0,2.973571428571501,bull,bear,0.34657836644600254,-13.401508644083151,False,2,13,14
4901986,2026-04-28 08:47:05+00:00,BUY,297.66,0.66,4625.5,28.0,4.565714285714356,bull,bull,0.1252173913043921,-27.91050629349047,False,2,8,47
5143275,2026-04-29 12:56:22+00:00,SELL,648.96,1.28,4556.8,26.0,3.2892857142857923,bear,bull,0.9353383458647511,-9.216403449599056,False,3,12,56
5194541,2026-04-29 16:21:47+00:00,SELL,170.1,0.35,4540.22,58.0,2.939285714285753,bear,bear,0.2724252491696209,-13.110557933341624,False,0,16,21
5202906,2026-04-29 16:39:17+00:00,SELL,150.15,0.35,4529.11,39.0,4.081428571428595,bear,bear,0.8336192109776558,-18.516314820280968,False,2,16,39
5241399,2026-04-29 18:11:59+00:00,SELL,191.75,0.65,4539.9,54.0,3.4328571428573014,bear,bull,0.33712984054657247,3.176308986775439,True,1,18,11
5325473,2026-04-30 08:00:53+00:00,BUY,246.96,0.72,4543.02,39.0,1.7721428571428857,bull,bear,0.4754901960785647,-7.885192609506703,False,1,8,0
5387960,2026-04-30 11:05:48+00:00,SELL,1059.24,1.94,4627.83,13.0,5.092857142857221,bear,bull,0.7650130548302589,33.80542198547573,True,3,11,5
5450340,2026-04-30 17:01:34+00:00,BUY,429.12,0.72,4614.94,49.0,3.76642857142867,bull,bull,0.46924829157160297,-11.580394654021802,False,3,17,1
5570461,2026-05-01 18:08:08+00:00,BUY,155.04,0.34,4622.96,52.0,3.7628571428570337,bull,bear,0.26728971962620446,-3.967344874403352,False,2,18,8
